Audio Mean,Audio Median,Audio Mode,Audio Maxv,Audio Minv,Audio Std,Audio Skew,Audio Kurtosis,Audio Q1,Audio Q3,Audio IQR,ZCR Mean,ZCR Median,ZCR Std,ZCR Kurtosis,ZCR Skew,RMS Energi Mean,RMS Energi Median,RMS Energi Std,RMS Energi Kurtosis,RMS Energi Skew,Label
-4.5752455e-05,0.00020053519,-0.013377089,0.19964962,-0.20500535,0.029603578,-0.11935182041385611,5.005180593457327,-0.011783841531723738,0.011482267640531063,0.0232661091722548,0.20527218549679488,0.098388671875,0.22389806810872342,1.6096575657406946,1.6990072029577306,0.00014873558569597936,5.841486831283878e-05,0.00024198073565915703,0.044043903679303255,0.013403697198629907,Orang 2_pleasant_surprise
-4.8728045e-05,0.00040983479,-0.07198618,0.1742059,-0.19390263,0.0371682,-0.17388957634244748,2.9294467565420446,-0.014112104661762714,0.015798361971974373,0.029910466633737087,0.19437255859375,0.102294921875,0.2123123121954194,1.5622297157265912,1.636625892381858,0.00018435162422075408,7.443123836971739e-05,0.00027470490258358574,0.02487027744321598,0.010385308822400846,Orang 2_pleasant_surprise
-1.958853e-05,-0.0001900843,-0.017790128,0.2843776,-0.23104608,0.0413319,0.2921971772068668,5.6888010129300195,-0.013858190272003412,0.010073920013383031,0.023932110285386443,0.1661650988520408,0.08154296875,0.2139915810045619,3.619490661935183,2.2092017090530316,0.0001852833813394177,5.582813732322645e-05,0.00030852705765145843,0.03158786162094845,0.01082783301420153,Orang 2_pleasant_surprise
-2.331498e-05,-0.00010090411,-0.13111219,0.25900492,-0.20276639,0.046235718,0.41326867536652295,3.7712488644497384,-0.013434903463348746,0.011270794551819563,0.02470569801516831,0.18524678548177084,0.11181640625,0.21090575991699595,3.0297807308945455,2.0784678330196975,0.00020948825954217212,5.651354649578904e-05,0.0003246844045418164,0.022939474065087215,0.009429331876480802,Orang 2_pleasant_surprise
-4.1974447e-05,0.00016357838,-0.03622178,0.23486222,-0.21387027,0.03663827,0.07614300860425946,4.718774646007009,-0.012012042105197906,0.011886465596035123,0.02389850770123303,0.18507095530063292,0.095703125,0.22334936949024878,2.6878816892442243,2.017582461412554,0.0001822282064023901,5.9408734838159185e-05,0.000293381204233965,0.03303060388355812,0.011750845397860619,Orang 2_pleasant_surprise
-2.1473596e-05,-7.6321536e-05,-0.05367949,0.31767955,-0.3056357,0.0453319,-0.025010708231373222,5.5693070854777424,-0.012464607134461403,0.012285501696169376,0.02475010883063078,0.20458017481435645,0.1220703125,0.22115359684193983,2.507194802218206,1.9111123045752834,0.0001998280382364682,5.456373235971707e-05,0.0003314523452186872,0.030042257237257897,0.010477577904896689,Orang 2_pleasant_surprise
-2.0772315e-05,-5.233958e-06,-0.09107191,0.19562647,-0.1691079,0.03608277,-0.008485905421849398,2.615553529154484,-0.01114679197780788,0.01198657345958054,0.02313336543738842,0.1811984080188679,0.095703125,0.21898386223142755,2.8874280712628906,2.0867155302018836,0.00015509756523047962,4.9606882136270564e-05,0.00022733241582718306,0.019719435482752762,0.008512474073435024,Orang 2_pleasant_surprise
0.00010811286,0.00019915073,-0.076789826,0.2262637,-0.20808682,0.039918054,0.04114223270442201,3.458869188870623,-0.014472664101049304,0.014515862334519625,0.02898852643556893,0.17023955195783133,0.0927734375,0.21833831383284485,3.21329179739637,2.151622674347126,0.00019464188196563278,7.070005005602947e-05,0.00029752250698444926,0.026410569361049865,0.010520723537793321,Orang 2_pleasant_surprise
-4.5131233e-05,6.24579e-05,-0.09744233,0.19087073,-0.18857408,0.031786636,-0.13653714837898226,3.4194311543203977,-0.011416952591389418,0.011871926952153444,0.023288879543542862,0.199286738528481,0.10400390625,0.22615501139854502,1.8191920239791974,1.8085661648927327,0.00015850790763575625,5.806097810002006e-05,0.00024185475304250263,0.029073945239179885,0.010935242268540497,Orang 2_pleasant_surprise
-4.5146167e-05,0.00011874258,-0.014285706,0.18706432,-0.14967138,0.0279122,-0.14928264443157285,3.4501049893862827,-0.008250488433986902,0.008991779759526253,0.017242268193513155,0.169451904296875,0.09130859375,0.19187993884719803,3.6587618879234363,2.1853220282491237,0.00013852781034455906,4.287290144624122e-05,0.00021166891456189533,0.025589404501564196,0.010371780236291166,Orang 2_pleasant_surprise
